City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,vila franca do campo,37.7167,-25.4333,18.23,85,74,0.86,PT,1687228076
316,glassboro,39.7029,-75.1118,23.52,85,96,0.45,US,1687228076
317,namibe,-15.1961,12.1522,16.86,80,83,2.83,AO,1687228076
318,ugoofaaru,5.6667,73.0,28.42,76,99,6.65,MV,1687228076
319,suva,-18.1416,178.4415,24.71,73,75,3.6,FJ,1687228076
320,vuktyl,63.8567,57.3094,5.6,79,100,4.58,RU,1687228076
321,weno,7.4515,151.8468,30.97,74,75,2.57,FM,1687228076
322,kirovsk,48.6375,38.6428,12.85,64,3,1.51,UA,1687228076
323,qoryooley,1.7878,44.53,23.38,88,82,4.04,SO,1687228076
324,nguigmi,14.2495,13.1092,30.85,44,100,3.81,NE,1687228077
325,luderitz,-26.6481,15.1594,12.03,83,1,6.22,NA,1687228077
326,hamilton,39.1834,-84.5333,21.16,91,40,3.09,US,1687227807
327,douentza,14.9951,-2.9517,31.97,43,25,9.59,ML,1687228078
328,ayr,55.4627,-4.6339,15.17,94,75,3.09,GB,1687228078
329,pemangkat,1.1667,108.9667,28.09,77,92,3.43,ID,1687228078
330,nuriootpa,-34.4833,139.0,12.76,60,100,4.14,AU,1687228078
331,mili,6.0815,171.735,27.73,78,79,3.4,MH,1687228079
332,corner brook,48.9667,-57.9484,5.09,98,100,1.65,CA,1687228079
333,nehe,48.4833,124.8333,26.89,46,100,4.38,CN,1687228079
334,gunnison,38.7,-107.0673,19.47,29,0,3.15,US,1687228079
335,manokwari,-0.8667,134.0833,26.86,81,100,0.81,ID,1687228079
336,estevan,49.1334,-102.9842,19.11,77,100,2.57,CA,1687227911
337,san sebastian de la gomera,28.0916,-17.1133,22.2,83,40,1.03,ES,1687228079
338,bandrele,-12.9067,45.1914,23.86,88,5,3.6,YT,1687228080
339,galliano,29.4422,-90.2992,31.0,74,40,3.09,US,1687228080
340,santa terezinha,-29.9002,-50.0904,14.29,82,100,4.88,BR,1687228080
341,san luis de la loma,17.2706,-100.8939,29.42,76,11,2.23,MX,1687228080
342,tshabong,-26.05,22.45,5.69,73,0,4.11,BW,1687228080
343,wahpeton,46.2652,-96.6059,29.4,51,0,5.66,US,1687228080
344,lagoa,39.05,-27.9833,18.41,80,100,3.01,PT,1687228080
345,kolonia,50.9333,6.95,20.33,74,0,4.12,DE,1687227960
346,vila velha,-20.3297,-40.2925,21.08,81,40,4.12,BR,1687228080
347,saint-pierre,-21.3393,55.4781,20.82,56,75,3.6,RE,1687228080
348,fale old settlement,-9.3852,-171.2468,28.13,68,23,3.9,TK,1687228081
349,skikda,36.8762,6.9092,26.59,48,47,4.96,DZ,1687228082
350,yarmouth,41.7057,-70.2286,15.57,89,0,1.79,US,1687228082
351,saint-philippe,-21.3585,55.7679,20.77,75,74,4.74,RE,1687228082
352,qamdo,31.1667,97.2333,3.56,86,100,2.53,CN,1687228082
353,severnoye,56.3491,78.3619,14.49,73,99,8.93,RU,1687228083
354,sittwe,20.15,92.9,28.47,79,78,4.07,MM,1687228083
355,necochea,-38.5473,-58.7368,10.26,84,100,5.74,AR,1687228083
356,oswestry,52.862,-3.055,15.42,92,98,0.68,GB,1687228083
